
 	activityId	subjectId	timeBodyAccMagnitudeMean	timeBodyAccMagnitudeStdDev	timeGravityAccMagnitudeMean	timeGravityAccMagnitudeStdDev	timeBodyAccJerkMagnitudeMean	timeBodyAccJerkMagnitudeStdDev	timeBodyGyroMagnitudeMean	timeBodyGyroMagnitudeStdDev	timeBodyGyroJerkMagnitudeMean	timeBodyGyroJerkMagnitudeStdDev	freqBodyAccMagnitudeMean	freqBodyAccMagnitudeStdDev	freqBodyAccJerkMagnitudeMean	freqBodyAccJerkMagnitudeStdDev	freqBodyGyroMagnitudeMean	freqBodyGyroMagnitudeStdDev	freqBodyGyroJerkMagnitudeMean	freqBodyGyroJerkMagnitudeStdDev	activityType
1	1	7	-9.188078e-02	-0.2193561900	-9.188078e-02	-0.2193561900	-0.2212704600	-0.0879041720	-0.2318863600	-0.358776760	-0.352581830	-0.259856990	-0.2241609800	-0.33775998	-0.1080884500	-0.0684556700	-0.3555949800	-0.4737873000	-0.2935054700	-0.268785960	WALKING
2	1	5	-6.040238e-02	-0.3184466800	-6.040238e-02	-0.3184466800	-0.1772447300	-0.1894699900	-0.2910629000	-0.457003930	-0.346170000	-0.431848420	-0.1955860200	-0.50512179	-0.1625357400	-0.2308742400	-0.4141968700	-0.5892402300	-0.5085487200	-0.381967480	WALKING
3	1	6	-1.786488e-01	-0.3309293600	-1.786488e-01	-0.3309293600	-0.1542024600	-0.1145808500	-0.2321449700	-0.169003670	-0.184643480	-0.175230040	-0.2129346500	-0.51205230	-0.0957735990	-0.1389667300	-0.1490698000	-0.3312052200	-0.2354146900	-0.157936420	WALKING
4	1	23	-1.654477e-01	-0.2496463200	-1.654477e-01	-0.2496463200	-0.1649508400	-0.0714365180	-0.0933726210	0.094971465	-0.086230814	0.135423270	-0.1348516800	-0.43985403	-0.0752900450	-0.0727829230	0.2018203200	-0.1916902000	0.0614876080	0.149172330	WALKING
5	1	7	-5.080089e-02	-0.1929634900	-5.080089e-02	-0.1929634900	-0.1670148100	-0.0674056450	-0.3110577400	-0.260273570	-0.342477730	-0.254895230	-0.1676230500	-0.33281465	-0.0810125840	-0.0561689350	-0.2549877000	-0.3944225500	-0.2944630300	-0.255807570	WALKING
6	1	7	-2.094337e-01	-0.3439432800	-2.094337e-01	-0.3439432800	-0.3906790400	-0.2638309100	-0.1746405100	-0.345378120	-0.474863300	-0.233668330	-0.3803205500	-0.42590790	-0.2964607300	-0.2277466200	-0.3522258700	-0.4548342000	-0.2700691500	-0.240611810	WALKING
7	1	11	-2.529818e-01	-0.4119853600	-2.529818e-01	-0.4119853600	-0.3047436300	-0.2532429600	-0.4037461700	-0.514784860	-0.585833730	-0.700043140	-0.3511890300	-0.54032931	-0.2171594100	-0.3066603400	-0.5531317800	-0.5715040000	-0.6976728800	-0.723445940	WALKING
8	1	6	-1.725826e-01	-0.3640592700	-1.725826e-01	-0.3640592700	-0.2497312600	-0.1814609700	-0.2491379900	-0.362241290	-0.225958480	-0.370192300	-0.2963157100	-0.50427181	-0.1647283000	-0.2082639900	-0.2836005800	-0.5454662200	-0.3300268700	-0.474663810	WALKING
9	1	10	-1.850677e-01	-0.1577595400	-1.850677e-01	-0.1577595400	-0.2094220500	0.0576481550	-0.1513211800	-0.324282200	-0.454183100	-0.454345980	-0.1406310500	-0.29835774	-0.0378534500	0.1624846000	-0.3425895300	-0.4286992100	-0.4966048100	-0.439405690	WALKING
10	1	11	-2.218495e-01	-0.4875644900	-2.218495e-01	-0.4875644900	-0.3238246300	-0.3737832700	-0.3957429200	-0.542897550	-0.598530660	-0.742318570	-0.4762425900	-0.57310715	-0.3787841900	-0.3709474500	-0.5889675400	-0.5896134800	-0.7486679900	-0.751683390	WALKING
11	1	21	-1.827336e-01	-0.3508640300	-1.827336e-01	-0.3508640300	-0.2061021200	-0.1847922900	-0.3155401100	-0.459122720	-0.463179150	-0.473148340	-0.3359307900	-0.45995452	-0.2604325400	-0.1009349400	-0.4417057900	-0.5684238700	-0.5090393300	-0.464766060	WALKING
12	1	3	-2.907165e-01	-0.3827757900	-2.907165e-01	-0.3827757900	-0.3159504800	-0.2073735200	-0.4839149800	-0.643484300	-0.603565860	-0.650244030	-0.3326305000	-0.50858033	-0.2564694400	-0.1535824100	-0.6330063900	-0.7146159300	-0.7122632400	-0.604911640	WALKING
